[0, -1, -1][0, -1, -1][0, -1, -1][0, -1, -1][0, -1, -1][0, 6, -1][0, 3, -1][0, -1, -1]
[0, -1, 12][1, -1, -1][1, -1, -1][1, -1, -1][0, 21, 15][1, -1, -1][1, -1, -1][0, -1, -1]

[0, -1, 33][1, -1, -1][1, -1, -1][1, -1, -1][1, -1, -1][1, -1, -1][1, -1, -1][0, -1, -1]

[0, -1, -1][0, -1, -1][0, -1, -1][0, -1, 9][1, -1, -1][1, -1, -1][0, -1, -1][0, -1, -1]

[0, -1, -1][0, -1, -1][0, -1, -1][0, 30, 12][1, -1, -1][1, -1, -1][0, -1, -1][0, -1, -1]

[0, -1, -1][0, -1, -1][0, -1, 14][1, -1, -1][1, -1, -1][0, -1, -1][0, -1, -1][0, -1, -1]

[0, -1, -1][0, -1, -1][0, 4, 9][1, -1, -1][1, -1, -1][0, 17, -1][0, 16, -1][0, 3, -1]

[0, -1, -1][0, -1, 30][1, -1, -1][1, -1, -1][1, -1, -1][1, -1, -1][1, -1, -1][1, -1, -1]

[0, -1, -1][0, -1, 9][1, -1, -1][1, -1, -1][0, -1, 19][1, -1, -1][1, -1, -1][1, -1, -1]




[0, -1, -1][0, -1, -1][0, 30, -1][0, 3, -1][0, -1, -1][0, -1, -1][0, 23, -1][0, 4, -1]

[0, -1, -1][0, -1, 11][1, -1, -1][1, -1, -1][0, -1, -1][0, -1, 9][1, -1, -1][1, -1, -1]

[0, -1, -1][0, 17, 7][1, -1, -1][1, -1, -1][0, -1, -1][0, 24, 12][1, -1, -1][1, -1, -1]

[0, -1, 17][1, -1, -1][1, -1, -1][0, 6, -1][0, 3, 14][1, -1, -1][1, -1, -1][0, -1, -1]

[0, -1, 27][1, -1, -1][1, -1, -1][1, -1, -1][1, -1, -1][1, -1, -1][0, 29, -1][0, 16, -1]

[0, -1, -1][0, -1, -1][0, 23, 25][1, -1, -1][1, -1, -1][1, -1, -1][1, -1, -1][1, -1, -1]

[0, -1, -1][0, 3, 8][1, -1, -1][1, -1, -1][0, -1, -1][0, 3, 15][1, -1, -1][1, -1, -1]

[0, -1, 11][1, -1, -1][1, -1, -1][0, -1, -1][0, -1, 10][1, -1, -1][1, -1, -1][0, -1, -1]

[0, -1, 9][1, -1, -1][1, -1, -1][0, -1, -1][0, -1, 9][1, -1, -1][1, -1, -1][0, -1, -1]




[0, -1, -1][0, -1, -1][0, -1, -1][0, 3, -1][0, 23, -1][0, -1, -1][0, -1, -1][0, -1, -1]

[0, -1, -1][0, 7, -1][0, 11, 7][1, -1, -1][1, -1, -1][0, 30, -1][0, -1, -1][0, -1, -1]

[0, -1, 23][1, -1, -1][1, -1, -1][1, -1, -1][1, -1, -1][1, -1, -1][0, -1, -1][0, -1, -1]

[0, -1, 5][1, -1, -1][1, -1, -1][0, 11, 14][1, -1, -1][1, -1, -1][0, 10, -1][0, -1, -1]

[0, -1, 9][1, -1, -1][1, -1, -1][1, -1, -1][0, -1, 9][1, -1, -1][1, -1, -1][0, 24, -1]

[0, -1, -1][0, -1, 7][1, -1, -1][1, -1, -1][0, 23, 21][1, -1, -1][1, -1, -1][1, -1, -1]

[0, -1, -1][0, -1, -1][0, -1, 11][1, -1, -1][1, -1, -1][0, 4, 12][1, -1, -1][1, -1, -1]

[0, -1, -1][0, -1, -1][0, -1, 19][1, -1, -1][1, -1, -1][1, -1, -1][1, -1, -1][1, -1, -1]

[0, -1, -1][0, -1, -1][0, -1, -1][0, -1, 9][1, -1, -1][1, -1, -1][0, -1, -1][0, -1, -1]




[0, -1, -1][0, -1, -1][0, -1, -1][0, 3, -1][0, 17, -1][0, -1, -1][0, 7, -1][0, 3, -1]

[0, -1, -1][0, 23, -1][0, 6, 10][1, -1, -1][1, -1, -1][0, -1, 6][1, -1, -1][1, -1, -1]

[0, -1, 18][1, -1, -1][1, -1, -1][1, -1, -1][1, -1, -1][0, 7, 3][1, -1, -1][1, -1, -1]

[0, -1, 10][1, -1, -1][1, -1, -1][0, 6, -1][0, 16, 5][1, -1, -1][1, -1, -1][0, -1, -1]

[0, -1, 23][1, -1, -1][1, -1, -1][1, -1, -1][1, -1, -1][1, -1, -1][0, 24, -1][0, 7, -1]

[0, -1, -1][0, -1, -1][0, 23, 22][1, -1, -1][1, -1, -1][1, -1, -1][1, -1, -1][1, -1, -1]

[0, -1, -1][0, 3, 10][1, -1, -1][1, -1, -1][0, 16, -1][0, 4, 12][1, -1, -1][1, -1, -1]

[0, -1, 8][1, -1, -1][1, -1, -1][0, -1, 21][1, -1, -1][1, -1, -1][1, -1, -1][1, -1, -1]

[0, -1, 9][1, -1, -1][1, -1, -1][0, -1, 8][1, -1, -1][1, -1, -1][0, -1, -1][0, -1, -1]



[0, -1, -1][0, -1, -1][0, 29, -1][0, 16, -1][0, 7, -1][0, -1, -1][0, -1, -1][0, -1, -1]

[0, -1, -1][0, 17, 17][1, -1, -1][1, -1, -1][1, -1, -1][0, -1, -1][0, 28, -1][0, 16, -1]

[0, -1, 20][1, -1, -1][1, -1, -1][1, -1, -1][1, -1, -1][0, 24, 13][1, -1, -1][1, -1, -1]

[0, -1, 10][1, -1, -1][1, -1, -1][0, 7, 24][1, -1, -1][1, -1, -1][1, -1, -1][1, -1, -1]

[0, -1, -1][0, -1, 5][1, -1, -1][1, -1, -1][0, -1, 16][1, -1, -1][1, -1, -1][0, -1, -1]

[0, -1, -1][0, 3, 7][1, -1, -1][1, -1, -1][0, 24, 9][1, -1, -1][1, -1, -1][0, 4, -1]

[0, -1, 22][1, -1, -1][1, -1, -1][1, -1, -1][1, -1, -1][0, 3, 5][1, -1, -1][1, -1, -1]

[0, -1, 3][1, -1, -1][1, -1, -1][0, -1, 13][1, -1, -1][1, -1, -1][1, -1, -1][1, -1, -1]

[0, -1, -1][0, -1, -1][0, -1, -1][0, -1, 14][1, -1, -1][1, -1, -1][1, -1, -1][0, -1, -1]



[0, -1, -1][0, -1, -1][0, 21, -1][0, 16, -1][0, -1, -1][0, -1, -1][0, -1, -1][0, -1, -1]

[0, -1, -1][0, 29, 11][1, -1, -1][1, -1, -1][0, -1, -1][0, -1, -1][0, -1, -1][0, -1, -1]

[0, -1, 20][1, -1, -1][1, -1, -1][1, -1, -1][0, -1, -1][0, 17, -1][0, 22, -1][0, -1, -1]

[0, -1, 12][1, -1, -1][1, -1, -1][0, -1, -1][0, 17, 13][1, -1, -1][1, -1, -1][0, 29, -1]

[0, -1, 9][1, -1, -1][1, -1, -1][0, 16, 28][1, -1, -1][1, -1, -1][1, -1, -1][1, -1, -1]

[0, -1, 25][1, -1, -1][1, -1, -1][1, -1, -1][1, -1, -1][0, -1, 6][1, -1, -1][1, -1, -1]

[0, -1, -1][0, -1, 14][1, -1, -1][1, -1, -1][0, -1, -1][0, 17, 10][1, -1, -1][1, -1, -1]

[0, -1, -1][0, -1, -1][0, -1, -1][0, -1, -1][0, -1, 24][1, -1, -1][1, -1, -1][1, -1, -1]

[0, -1, -1][0, -1, -1][0, -1, -1][0, -1, -1][0, -1, 12][1, -1, -1][1, -1, -1][0, -1, -1]



